"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 0.000000000000000e+00, 1.003337133398994e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.673093405370936e+00, 1.000000000000000e-10, 7.559394310335016e+05, 1.069237362108240e+00, 1.065681042309275e+00, 0.000000000000000e+00, 2.863138913140670e-01, 9.936759567584045e-08, 1.454605737351306e-08, -1.561362103490930e-04, -1.268677709447716e+00, 6.352217421986007e-01, 1.327271913847526e-16
1, 5.000000000000000e-01, 7.766482000000000e-02, 8.033924283221546e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.127018488923317e+00, 1.000000000000000e-10, 9.357118163904336e+05, 8.508073955371909e-01, 1.059018439237796e+00, 0.000000000000000e+00, -6.169489107954238e-01, 9.889195949387998e-08, 3.091724419635655e-03, -2.116183134456297e-04, -2.186730368046771e+02, 2.544528355177007e+00, 8.585895869530471e-17
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.078856746448219e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876217382719239e+00, 1.000000000000000e-10, 6.937560280430419e+05, 1.150486953044541e+00, 1.066394548518273e+00, 0.000000000000000e+00, 6.223013674440918e-01, 9.941844569015536e-08, -1.877347770501513e-12, 3.534537971167183e-03, -4.309047218178544e+02, 3.146986232930683e+00, 1.555095305787206e-16
3, 5.000000000000000e-01, -7.766482000000000e-02, 8.827590859617657e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.341729198803675e+00, 1.000000000000000e-10, 8.528072959434849e+05, 9.366916794861595e-01, 1.061095483900496e+00, 0.000000000000000e+00, -2.617958143832652e-01, 9.904039425792887e-08, 3.196807861654267e-03, 2.188109353897619e-04, -2.430127780704724e+02, 2.708139469664621e+00, 1.035121411436896e-16
12, 9.954551090812083e-01, 1.139796998787765e-03, 1.002103519319594e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.669904874754128e+00, 1.000000000000000e-10, 7.543061761202377e+05, 1.067961949861567e+00, 1.065720186859227e+00, 0.000000000000000e+00, 2.810397411694694e-01, 9.937038585406915e-08, 1.490420805360141e-04, -3.719309646916184e-05, 1.101480973558323e+01, 6.296628179822729e-01, 1.328510337843480e-16
13, 9.903582780842387e-01, 2.406068756233480e-03, 9.996168721243632e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.663338610090022e+00, 1.000000000000000e-10, 7.561976432596500e+05, 1.065335443996024e+00, 1.065743760138819e+00, 0.000000000000000e+00, 2.701784793879000e-01, 9.937206610593600e-08, 1.414686630671945e-04, -3.496106246408868e-05, 6.867385718979520e+00, 6.125112769448121e-01, 1.321898991334640e-16
14, 9.848986192925683e-01, 3.748615735746229e-03, 9.983997369873553e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.660128167298648e+00, 1.000000000000000e-10, 7.571216622630378e+05, 1.064051266879523e+00, 1.065756757999826e+00, 0.000000000000000e+00, 2.648680843039996e-01, 9.937299255728198e-08, 1.691940539556009e-04, -4.137315438936507e-05, 5.080455573600478e+00, 6.692326588207930e-01, 1.318678109174477e-16
15, 9.791316777091300e-01, 5.151318129529794e-03, 9.961458282198430e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.654121483990266e+00, 1.000000000000000e-10, 7.588337184790337e+05, 1.061648593556260e+00, 1.065756201030801e+00, 0.000000000000000e+00, 2.549324263327391e-01, 9.937295285819402e-08, 2.097536738379470e-04, -5.072053692000226e-05, 4.421691694658957e+00, 7.440689027506874e-01, 1.312732714051553e-16
16, 9.730890097617939e-01, 6.604297475457873e-03, 9.939237699610667e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.648154758504883e+00, 1.000000000000000e-10, 7.605187239944200e+05, 1.059261903362196e+00, 1.065737569998642e+00, 0.000000000000000e+00, 2.450628626171920e-01, 9.937162488803148e-08, 2.590363686173464e-04, -6.190699034188397e-05, 4.129322785840118e+00, 8.256965248294064e-01, 1.306902445451205e-16
17, 9.667914797640027e-01, 8.100496729753454e-03, 9.913386215385033e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.641170245698665e+00, 1.000000000000000e-10, 7.624798027962181e+05, 1.056468098239812e+00, 1.065698516416350e+00, 0.000000000000000e+00, 2.335097763671361e-01, 9.936884121617976e-08, 3.134471411198098e-04, -7.399986630171035e-05, 3.983410011466042e+00, 9.068324273911663e-01, 1.300150665089031e-16
