"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 1.000000000000000e+00, 0.000000000000000e+00, 1.003720079855386e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.654508164813801e+00, 1.000000000000000e-10, 8.745297992215723e+06, 1.061803265885371e+00, 1.057867912773404e+00, 0.000000000000000e+00, 2.906417516482664e-01, 9.880987231121486e-08, 2.864041198521504e-09, -2.274624123715576e-04, 2.862343614640625e+00, 2.116443129958806e-01, 1.147725124722677e-17
1, 5.000000000000000e-01, 7.766482000000000e-02, 8.229648070369183e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.163727815084925e+00, 1.000000000000000e-10, 1.061424227268954e+07, 8.654911260010512e-01, 1.051674529214984e+00, 0.000000000000000e+00, -6.325538657422937e-01, 9.836618158665521e-08, 3.341380283132591e-03, -2.288906312899722e-04, -7.286693361176047e+01, 7.386896668653922e-01, 7.753402411786864e-18
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.018482889959610e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.687061775741375e+00, 1.000000000000000e-10, 8.591292165115701e+06, 1.074824710255810e+00, 1.055319358677135e+00, 0.000000000000000e+00, 3.518775997316711e-01, 9.862744932898533e-08, -9.758743243371291e-13, 6.403811594097117e-03, -2.747500594361665e+02, 1.133742654966065e+00, 1.185482781003432e-17
3, 5.000000000000000e-01, -7.766482000000000e-02, 9.062042966929341e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.387218573185836e+00, 1.000000000000000e-10, 9.653619191020841e+06, 9.548874292380861e-01, 1.053722027938749e+00, 0.000000000000000e+00, -2.121505457643218e-01, 9.851300420826328e-08, 3.524904420953687e-03, 2.414623689057849e-04, -7.680650357839045e+01, 7.949639237323450e-01, 9.387195314491428e-18
12, 9.987190182960113e-01, 3.222746584426736e-04, 1.003529728969255e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.654150652248096e+00, 1.000000000000000e-10, 8.744416696853012e+06, 1.061660260859097e+00, 1.057926068567544e+00, 0.000000000000000e+00, 2.899692429913945e-01, 9.881403253675153e-08, 2.532807278262024e-05, -6.363703093426200e-06, 1.096452300091245e+01, 7.170339160307664e-02, 1.147623270036113e-17
13, 9.973576161023998e-01, 6.639015422727438e-04, 1.003257734508405e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.653516205113828e+00, 1.000000000000000e-10, 8.747179580136955e+06, 1.061406482005401e+00, 1.057959929434772e+00, 0.000000000000000e+00, 2.887757990930342e-01, 9.881645475195799e-08, 3.529074373501100e-05, -8.843581137397547e-06, 3.140921695591511e+00, 8.461858329036651e-02, 1.146949923133122e-17
14, 9.959424397049299e-01, 1.018063283328720e-03, 1.002878302246488e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.652549271604230e+00, 1.000000000000000e-10, 8.750591813544290e+06, 1.061019708601576e+00, 1.057974538111803e+00, 0.000000000000000e+00, 2.869569227283630e-01, 9.881749976250226e-08, 4.333649287073470e-05, -1.082998625858765e-05, 8.762462838115199e-01, 9.374332066148361e-02, 1.146069126466659e-17
15, 9.944826445476189e-01, 1.382369982369649e-03, 1.002507286968864e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.651572705996328e+00, 1.000000000000000e-10, 8.753841068218211e+06, 1.060629082358431e+00, 1.057976431837520e+00, 0.000000000000000e+00, 2.851199276453155e-01, 9.881763522691087e-08, 5.325819301260805e-05, -1.327174922101484e-05, 2.048612346804769e-01, 1.038937922650329e-01, 1.145219928181752e-17
16, 9.929835292560198e-01, 1.755413073549319e-03, 1.002130034552984e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.650560782795773e+00, 1.000000000000000e-10, 8.757099703106783e+06, 1.060224313078224e+00, 1.057970798720900e+00, 0.000000000000000e+00, 2.832164222087115e-01, 9.881723227126407e-08, 6.392551951798605e-05, -1.588363563920610e-05, 1.526304739560702e-03, 1.137932887415366e-01, 1.144362998232916e-17
17, 9.914486413522828e-01, 2.136231689654613e-03, 1.001713804480545e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.649435777592371e+00, 1.000000000000000e-10, 8.760677407966083e+06, 1.059774310996880e+00, 1.057961172399379e+00, 0.000000000000000e+00, 2.811002008198648e-01, 9.881654366590484e-08, 7.512504821590217e-05, -1.861074225803839e-05, -6.283296549340452e-02, 1.233238631463282e-01, 1.143420560821150e-17
18, 9.898805761408571e-01, 2.524108229645643e-03, 1.001301822403486e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.648317248905263e+00, 1.000000000000000e-10, 8.764208254852388e+06, 1.059326899522053e+00, 1.057949636982869e+00, 0.000000000000000e+00, 2.789961622567169e-01, 9.881571849208740e-08, 8.662406217829576e-05, -2.139401804699131e-05, -8.727325579765559e-02, 1.323884546640601e-01, 1.142489846540046e-17
19, 9.882813511870496e-01, 2.918474651380295e-03, 1.000853864558916e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.647101329162140e+00, 1.000000000000000e-10, 8.768052036532313e+06, 1.058840531624822e+00, 1.057937196547132e+00, 0.000000000000000e+00, 2.767089236201883e-01, 9.881482857374608e-08, 9.817873437478675e-05, -2.417237594168254e-05, -1.023946414990533e-01, 1.408988835587268e-01, 1.141478109138754e-17
20, 9.866525586914100e-01, 3.318871493108355e-03, 1.000393463776334e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.645851076354623e+00, 1.000000000000000e-10, 8.772004347174527e+06, 1.058340430501833e+00, 1.057924175660603e+00, 0.000000000000000e+00, 2.743571018466228e-01, 9.881389712776060e-08, 1.100500025829007e-04, -2.700941333732516e-05, -1.186858894083704e-01, 1.491278718329568e-01, 1.140438964413427e-17
21, 9.849955249739318e-01, 3.724910237584532e-03, 9.999110219634819e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.644541072677233e+00, 1.000000000000000e-10, 8.776150109236633e+06, 1.057816429030897e+00, 1.057910559835323e+00, 0.000000000000000e+00, 2.718928840872942e-01, 9.881292311697874e-08, 1.221325166744072e-04, -2.987837772207356e-05, -1.383368790715634e-01, 1.570505097478472e-01, 1.139350525990902e-17
22, 9.833113573226613e-01, 4.136259681440833e-03, 9.994103158982507e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.643180973689587e+00, 1.000000000000000e-10, 8.780455476819836e+06, 1.057272389435858e+00, 1.057896214014563e+00, 0.000000000000000e+00, 2.693344331931080e-01, 9.881189687919283e-08, 1.344779868032704e-04, -3.279098092385990e-05, -1.614777807405708e-01, 1.647422543939111e-01, 1.138221624021834e-17
23, 9.816010119441944e-01, 4.552624978486710e-03, 9.988790525324768e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.641737919409545e+00, 1.000000000000000e-10, 8.785028648916928e+06, 1.056695167723863e+00, 1.057880996748109e+00, 0.000000000000000e+00, 2.666199370081512e-01, 9.881080829452463e-08, 1.473435032045410e-04, -3.580867135273864e-05, -1.886365481466664e-01, 1.723827391528221e-01, 1.137024381771263e-17
24, 9.798653116018411e-01, 4.973747022243809e-03, 9.983429716347451e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.640279747535667e+00, 1.000000000000000e-10, 8.789642537068503e+06, 1.056111898974333e+00, 1.057864810972720e+00, 0.000000000000000e+00, 2.638770034654562e-01, 9.880965041805192e-08, 1.605959339540455e-04, -3.889786924562521e-05, -2.186675930634842e-01, 1.799050384657448e-01, 1.135817642787858e-17
25, 9.781049901600826e-01, 5.399394849242907e-03, 9.977760899736329e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.638737576437283e+00, 1.000000000000000e-10, 8.794526476011738e+06, 1.055495030535002e+00, 1.057847588393198e+00, 0.000000000000000e+00, 2.609760609153298e-01, 9.880841836255123e-08, 1.740943473817330e-04, -4.202319731772279e-05, -2.507547396117983e-01, 1.872446447095944e-01, 1.134542307001989e-17
