#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.88670  0.004896  0.002919  0.001579     1.677
   0.00634  0.99372  0.00214  0.89576  0.004635  0.002806  0.001698     1.652
   0.01739  0.98277  0.00365  0.91302  0.004188  0.002607  0.001936     1.607
   0.03029  0.96999  0.00539  0.92977  0.003812  0.002427  0.002167     1.571
   0.04475  0.95567  0.00731  0.94547  0.003501  0.002268  0.002384     1.543
   0.06028  0.94026  0.00934  0.95956  0.003247  0.002132  0.002578     1.523
   0.07646  0.92422  0.01142  0.97218  0.003035  0.002014  0.002752     1.507
   0.09297  0.90784  0.01350  0.98332  0.002858  0.001911  0.002907     1.495
   0.10966  0.89128  0.01556  0.99330  0.002705  0.001820  0.003047     1.486
   0.12644  0.87462  0.01759  1.00234  0.002571  0.001738  0.003175     1.479
   0.14325  0.85793  0.01959  1.01067  0.002449  0.001662  0.003295     1.473
   0.16009  0.84120  0.02155  1.01833  0.002338  0.001592  0.003408     1.469
   0.17694  0.82446  0.02348  1.02555  0.002235  0.001526  0.003517     1.464
   0.19380  0.80771  0.02537  1.03234  0.002138  0.001463  0.003624     1.461
   0.21066  0.79095  0.02723  1.03878  0.002046  0.001404  0.003728     1.458
   0.22752  0.77419  0.02905  1.04504  0.001958  0.001346  0.003834     1.455
   0.24438  0.75742  0.03083  1.05095  0.001873  0.001290  0.003938     1.452
   0.26124  0.74066  0.03257  1.05674  0.001791  0.001236  0.004045     1.449
   0.27810  0.72389  0.03428  1.06236  0.001712  0.001183  0.004155     1.447
   0.29495  0.70712  0.03594  1.06777  0.001634  0.001131  0.004266     1.445
   0.31179  0.69035  0.03757  1.07316  0.001558  0.001081  0.004382     1.442
   0.32863  0.67359  0.03916  1.07840  0.001484  0.001031  0.004500     1.440
   0.34546  0.65683  0.04071  1.08349  0.001411  0.000981  0.004619     1.438
   0.36228  0.64008  0.04221  1.08856  0.001340  0.000933  0.004740     1.437
   0.37909  0.62333  0.04367  1.09350  0.001272  0.000885  0.004855     1.437
   0.39589  0.60659  0.04509  1.09823  0.001206  0.000838  0.004952     1.440
   0.41267  0.58987  0.04646  1.10282  0.001146  0.000791  0.005017     1.448
   0.42944  0.57315  0.04778  1.10724  0.001092  0.000746  0.005015     1.463
   0.44619  0.55645  0.04905  1.11136  0.001051  0.000703  0.004881     1.495
   0.46292  0.53976  0.05026  1.11531  0.001033  0.000663  0.004508     1.558
   0.47963  0.52309  0.05143  1.11964  0.001057  0.000627  0.003734     1.687
   0.49632  0.50644  0.05253  1.12679  0.001155  0.000591  0.002477     1.953
   0.51299  0.48980  0.05357  1.14151  0.001349  0.000549  0.001112     2.457
   0.52963  0.47319  0.05455  1.15877  0.001543  0.000507  0.000448     3.045
   0.54624  0.45660  0.05546  1.16099  0.001574  0.000499  0.000364     3.152
   0.56282  0.44004  0.05630  1.16466  0.001561  0.000489  0.000341     3.191
   0.57937  0.42351  0.05707  1.16901  0.001527  0.000478  0.000347     3.196
   0.59589  0.40701  0.05776  1.17378  0.001481  0.000466  0.000370     3.181
   0.61236  0.39055  0.05837  1.17888  0.001428  0.000453  0.000407     3.153
   0.62880  0.37412  0.05889  1.18418  0.001375  0.000440  0.000449     3.123
   0.64519  0.35774  0.05932  1.18971  0.001319  0.000427  0.000499     3.089
   0.66153  0.34140  0.05965  1.19541  0.001264  0.000414  0.000556     3.054
   0.67782  0.32511  0.05988  1.20126  0.001209  0.000401  0.000618     3.020
   0.69405  0.30888  0.06000  1.20727  0.001155  0.000387  0.000687     2.985
   0.71022  0.29272  0.06001  1.21334  0.001104  0.000374  0.000757     2.955
   0.72631  0.27662  0.05989  1.21954  0.001053  0.000360  0.000835     2.924
   0.74233  0.26060  0.05965  1.22583  0.001003  0.000346  0.000918     2.896
   0.75827  0.24467  0.05927  1.23221  0.000955  0.000333  0.001006     2.870
   0.77411  0.22884  0.05875  1.23870  0.000907  0.000319  0.001104     2.844
   0.78983  0.21313  0.05807  1.24522  0.000861  0.000305  0.001204     2.823
   0.80543  0.19755  0.05723  1.25195  0.000814  0.000291  0.001324     2.797
   0.82087  0.18214  0.05622  1.25864  0.000769  0.000277  0.001450     2.776
   0.83613  0.16693  0.05503  1.26532  0.000726  0.000263  0.001579     2.759
   0.85117  0.15196  0.05365  1.27220  0.000681  0.000249  0.001736     2.739
   0.86591  0.13730  0.05207  1.27904  0.000638  0.000234  0.001904     2.722
   0.88029  0.12303  0.05029  1.28593  0.000594  0.000220  0.002100     2.704
   0.89417  0.10929  0.04832  1.29269  0.000552  0.000205  0.002313     2.689
   0.90742  0.09622  0.04618  1.29944  0.000510  0.000191  0.002571     2.672
   0.91986  0.08399  0.04389  1.30582  0.000470  0.000177  0.002863     2.656
   0.93132  0.07278  0.04150  1.31167  0.000431  0.000163  0.003184     2.642
   0.94168  0.06271  0.03908  1.31707  0.000393  0.000150  0.003592     2.621
   0.95091  0.05380  0.03667  1.32116  0.000360  0.000138  0.003997     2.608
   0.95903  0.04603  0.03431  1.32451  0.000328  0.000127  0.004496     2.589
   0.96614  0.03929  0.03203  1.32641  0.000299  0.000116  0.005026     2.573
   0.97238  0.03346  0.02983  1.32705  0.000271  0.000106  0.005708     2.547
   0.97787  0.02840  0.02771  1.32510  0.000248  0.000098  0.006304     2.537
   0.98273  0.02399  0.02566  1.32198  0.000224  0.000089  0.007186     2.507
   0.98707  0.02013  0.02367  1.31513  0.000204  0.000082  0.007983     2.491
   0.99097  0.01674  0.02173  1.30560  0.000185  0.000075  0.008991     2.466
   0.99451  0.01376  0.01982  1.29148  0.000167  0.000068  0.010092     2.442
   0.99774  0.01114  0.01793  1.27184  0.000151  0.000062  0.011195     2.423
   1.00071  0.00883  0.01606  1.24567  0.000135  0.000057  0.012668     2.390
   1.00346  0.00682  0.01419  1.20905  0.000122  0.000052  0.013844     2.372
   1.00603  0.00508  0.01231  1.16181  0.000110  0.000047  0.015262     2.342
   1.00843  0.00360  0.01041  1.09898  0.000099  0.000043  0.016361     2.318
   1.01069  0.00238  0.00851  1.01904  0.000090  0.000039  0.017014     2.298
   1.01284  0.00141  0.00659  0.91876  0.000082  0.000036  0.017260     2.268
   1.01488  0.00070  0.00467  0.79814  0.000077  0.000034  0.016062     2.259
   1.01683  0.00025  0.00277  0.66237  0.000073  0.000033  0.014348     2.236
   1.01871  0.00003  0.00091  0.51709  0.000072  0.000032  0.011355     2.245
   1.02053  0.00003 -0.00091  0.36663  0.000070  0.000031  0.008454     2.222
   1.02241  0.00025 -0.00277  0.20713  0.000073  0.000033  0.004585     2.225
   1.02436  0.00070 -0.00467  0.05412  0.000075  0.000034  0.001154     2.230
   1.02641  0.00141 -0.00659 -0.09895  0.000075  0.000034  0.002110     2.230
   1.02855  0.00238 -0.00851 -0.23631  0.000084  0.000037  0.004401     2.253
   1.03081  0.00360 -0.01041 -0.35927  0.000088  0.000040  0.006481     2.233
   1.03322  0.00508 -0.01231 -0.46650  0.000098  0.000043  0.007332     2.274
   1.03578  0.00682 -0.01419 -0.55705  0.000106  0.000047  0.008092     2.269
   1.03853  0.00883 -0.01606 -0.63533  0.000117  0.000051  0.008240     2.289
   1.04150  0.01114 -0.01793 -0.70165  0.000128  0.000056  0.008212     2.300
   1.04473  0.01376 -0.01982 -0.75926  0.000140  0.000061  0.008052     2.311
   1.04827  0.01674 -0.02173 -0.80759  0.000155  0.000066  0.007599     2.332
   1.05217  0.02013 -0.02367 -0.85072  0.000168  0.000072  0.007360     2.334
   1.05651  0.02399 -0.02566 -0.88810  0.000184  0.000078  0.006867     2.353
   1.06138  0.02840 -0.02771 -0.92087  0.000201  0.000085  0.006447     2.364
   1.06687  0.03346 -0.02983 -0.94984  0.000220  0.000093  0.006004     2.377
   1.07310  0.03929 -0.03203 -0.97558  0.000241  0.000101  0.005576     2.389
   1.08022  0.04603 -0.03431 -0.99858  0.000263  0.000110  0.005168     2.400
   1.08834  0.05380 -0.03667 -1.01875  0.000288  0.000119  0.004752     2.413
