#  NACA 0012                                       
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           nc
   0.70408E-03   0.0000    
   0.24574E-03  0.12161E-09
   0.26213E-04  0.24246E-09
   0.26206E-04  0.36068E-09
   0.24572E-03  0.47999E-09
   0.70408E-03  0.60004E-09
   0.14132E-02  0.71942E-09
   0.23779E-02  0.83663E-09
   0.35991E-02  0.95060E-09
   0.50781E-02  0.10612E-08
   0.68196E-02  0.11686E-08
   0.88340E-02  0.12735E-08
   0.11140E-01  0.13765E-08
   0.13763E-01  0.14784E-08
   0.16743E-01  0.15803E-08
   0.20129E-01  0.16829E-08
   0.23986E-01  0.17873E-08
   0.28396E-01  0.18944E-08
   0.33459E-01  0.20052E-08
   0.39294E-01  0.21207E-08
   0.46033E-01  0.22415E-08
   0.53802E-01  0.23681E-08
   0.62705E-01  0.91139E-02
   0.72782E-01  0.12295    
   0.83993E-01  0.31091    
   0.96218E-01  0.52539    
   0.10929      0.75364    
   0.12303      0.99243    
   0.13730       1.2399    
   0.15196       1.4960    
   0.16693       1.7609    
   0.18214       2.0340    
   0.19755       2.3155    
   0.21313       2.6089    
   0.22884       2.9140    
   0.24467       3.2308    
   0.26060       3.5608    
   0.27662       3.9047    
   0.29272       4.2637    
   0.30888       4.6383    
   0.32511       5.0297    
   0.34140       5.4387    
   0.35774       5.8645    
   0.37412       6.3061    
   0.39055       6.7609    
   0.40701       7.2259    
   0.42351       7.6952    
   0.44004       8.1577    
   0.45660       8.5961    
   0.47319       8.9795    

   0.14133E-02   0.0000    
   0.23780E-02  0.12465E-09
   0.35992E-02  0.24606E-09
   0.50782E-02  0.36604E-09
   0.68196E-02  0.48370E-09
   0.88341E-02  0.59959E-09
   0.11140E-01  0.71439E-09
   0.13763E-01  0.82895E-09
   0.16743E-01  0.94396E-09
   0.20129E-01  0.10604E-08
   0.23986E-01  0.11795E-08
   0.28396E-01  0.13021E-08
   0.33459E-01  0.14294E-08
   0.39295E-01  0.15623E-08
   0.46033E-01  0.17016E-08
   0.53802E-01  0.18478E-08
   0.62705E-01  0.20005E-08
   0.72782E-01  0.21583E-08
   0.83993E-01  0.23192E-08
   0.96218E-01  0.24806E-08
   0.10929      0.26402E-08
   0.12303      0.27961E-08
   0.13730      0.29471E-08
   0.15196      0.30929E-08
   0.16693      0.32331E-08
   0.18214      0.33681E-08
   0.19755      0.34978E-08
   0.21313      0.36227E-08
   0.22884      0.37431E-08
   0.24467      0.12397E-01
   0.26060      0.76324E-01
   0.27662      0.18054    
   0.29272      0.29958    
   0.30888      0.42226    
   0.32511      0.54857    
   0.34140      0.67871    
   0.35774      0.81326    
   0.37412      0.95177    
   0.39055       1.0950    
   0.40701       1.2435    
   0.42351       1.3972    
   0.44004       1.5563    
   0.45660       1.7216    
   0.47319       1.8930    
   0.48980       2.0701    
   0.50644       2.2541    
   0.52309       2.4453    
   0.53976       2.6443    
   0.55645       2.8515    
   0.57315       3.0668    
   0.58987       3.2910    
   0.60659       3.5254    
   0.62333       3.7706    
   0.64008       4.0273    
   0.65683       4.2963    
   0.67359       4.5792    
   0.69035       4.8768    
   0.70712       5.1911    
   0.72389       5.5234    
   0.74066       5.8748    
   0.75742       6.2465    
   0.77419       6.6386    
   0.79095       7.0502    
   0.80771       7.4797    
   0.82446       7.9208    
   0.84120       8.3639    
   0.85793       8.7907    

