x1	x2	x3	x4	x5	x6	x7	x8	nconv	P	coll	T
0.210000	0.070000	0.290000	0.500000	0.210000	0.070000	0.290000	0.500000	98.33	2341.51	15.26	85000.00
0.305000	0.160000	0.595000	1.750000	0.305000	0.160000	0.595000	1.750000	95.83	2394.72	15.89	85000.00
0.257500	0.115000	0.442500	2.375000	0.352500	0.115000	0.747500	2.375000	96.67	2359.58	15.78	85000.00
0.352500	0.205000	0.747500	1.125000	0.257500	0.205000	0.442500	1.125000	96.67	2615.02	16.42	85000.00
0.281250	0.182500	0.823750	1.437500	0.233750	0.137500	0.823750	2.687500	92.50	2727.66	16.78	85000.00
0.376250	0.092500	0.518750	2.687500	0.328750	0.227500	0.518750	1.437500	100.00	2420.20	16.16	85000.00
0.233750	0.227500	0.671250	2.062500	0.376250	0.092500	0.366250	0.812500	94.17	2573.39	16.81	85000.00
0.328750	0.137500	0.366250	0.812500	0.281250	0.182500	0.671250	2.062500	95.00	2450.88	15.79	85000.00
0.269375	0.238750	0.633125	2.843750	0.269375	0.148750	0.861875	2.843750	94.17	3069.68	21.44	85000.00
0.364375	0.148750	0.328125	1.593750	0.364375	0.238750	0.556875	1.593750	92.50	2438.06	16.49	85000.00
0.221875	0.193750	0.785625	0.968750	0.316875	0.103750	0.404375	0.968750	95.00	2340.45	15.30	85000.00
0.316875	0.103750	0.480625	2.218750	0.221875	0.193750	0.709375	2.218750	97.50	3188.37	19.19	85000.00
0.245625	0.126250	0.556875	1.906250	0.293125	0.081250	0.328125	0.656250	91.67	2345.63	15.43	85000.00
0.340625	0.216250	0.861875	0.656250	0.388125	0.171250	0.633125	1.906250	98.33	2399.20	16.23	85000.00
0.293125	0.081250	0.404375	1.281250	0.340625	0.126250	0.785625	2.531250	92.50	2346.71	15.67	85000.00
0.388125	0.171250	0.709375	2.531250	0.245625	0.216250	0.480625	1.281250	96.67	2823.37	17.56	85000.00
0.299063	0.154375	0.804688	2.296875	0.310937	0.176875	0.804688	1.671875	95.00	2534.65	16.57	85000.00
0.394062	0.244375	0.499688	1.046875	0.215938	0.086875	0.499688	2.921875	95.83	2762.69	17.62	85000.00
0.251563	0.109375	0.652188	1.671875	0.263437	0.221875	0.347187	2.296875	93.33	2494.07	16.14	85000.00
0.346562	0.199375	0.347187	2.921875	0.358438	0.131875	0.652188	1.046875	76.67	2388.17	16.52	81853.63
0.286526	0.113758	0.729921	0.660432	0.371404	0.115682	0.740039	0.500000	92.50	2332.27	15.22	85000.00
0.322324	0.070000	0.490647	0.500000	0.361795	0.070000	0.735577	1.312219	95.83	2404.37	15.45	85000.00
0.281525	0.119955	0.718802	0.590269	0.378240	0.120631	0.710982	0.629489	98.33	2326.79	15.21	85000.00
0.281525	0.119955	0.718802	0.590269	0.378240	0.120631	0.710982	0.879489	98.33	2323.96	15.23	85000.00
0.264703	0.092244	0.783711	1.379306	0.400000	0.157222	0.742408	0.500000	94.17	2330.58	15.28	85000.00
0.297179	0.093698	0.697802	0.500000	0.309976	0.117836	0.682294	2.556219	97.50	2340.90	15.50	85000.00
0.277069	0.101812	0.680201	0.712036	0.344133	0.140479	0.630416	0.797107	95.83	2316.06	15.20	85000.00
0.277069	0.101812	0.680201	0.712036	0.344133	0.140479	0.569416	0.797107	95.83	2309.69	15.19	85000.00
0.251856	0.070000	0.701511	0.708708	0.369515	0.150800	0.306060	1.499269	93.33	2300.53	15.36	85000.00
0.299719	0.070800	0.330670	2.008690	0.340430	0.149282	0.290000	3.000000	96.67	2331.97	16.02	85000.00
0.259548	0.070000	0.691579	1.108216	0.360071	0.156841	0.290000	1.508083	97.50	2304.10	15.41	85000.00
0.251856	0.070000	0.701511	0.708708	0.369515	0.150800	0.306060	1.999269	93.33	2307.76	15.51	85000.00
0.237528	0.070000	0.663070	2.692957	0.400000	0.206832	0.335124	0.500000	93.33	2339.77	15.42	85000.00
0.218515	0.082416	0.525456	2.975745	0.369667	0.094359	0.290000	2.216983	95.00	2331.87	15.79	85000.00
0.232925	0.077958	0.633163	0.901240	0.368436	0.157574	0.313610	1.723306	97.50	2310.03	15.44	85000.00
0.251856	0.070000	0.701511	0.708708	0.331515	0.150800	0.306060	1.499269	93.33	2300.77	15.32	85000.00
0.251604	0.085009	0.290000	0.500000	0.369382	0.189522	0.308634	3.000000	96.67	2382.92	16.25	85000.00
0.279491	0.110208	0.381185	1.247969	0.400000	0.094558	0.356089	2.033513	96.67	2338.46	15.57	85000.00
0.248909	0.078322	0.710494	0.629244	0.360616	0.154228	0.343045	1.467436	95.83	2303.96	15.33	85000.00
0.251856	0.070000	0.762511	0.708708	0.369515	0.150800	0.306060	1.499269	97.50	2300.22	15.36	85000.00
0.322684	0.070000	0.899686	2.143822	0.348698	0.166339	0.335195	1.973723	96.67	2321.82	15.73	85000.00
