"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy"
0, 1.000000000000000e+00, -1.110223000000000e-16, 1.070412519905154e+00, 3.689105210983001e-01, 6.889362568844627e-03, 2.856244112759992e+00, 1.117060267763588e+00, 1.043579224823125e+00, 2.851798577839698e-01, 5.528229882577943e-01, 3.502562506696449e-08, 8.140011647506107e-07, -1.422638991055436e-07, 4.468943548552318e-07
1, 5.000000000000000e-01, 1.190019000000000e-01, 7.884931110871537e-01, 8.055829173287157e-01, -9.546228043296549e-02, 2.209825227245164e+00, 7.170099556618886e-01, 9.093420672671373e-01, 9.118276454933870e-01, -1.336434684005249e+00, -2.960480138813892e-08, 3.294975370327080e-08, -4.527333022363855e-09, -3.868559783626324e-08
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.034395367037311e+00, 6.914004745368252e-05, 5.923106534885203e-01, 2.791032822698985e+00, 1.048579895057831e+00, 1.013712868862849e+00, 4.806638741836020e-01, 2.294209920086476e-01, -4.335705483526908e-08, -2.555860745701716e-09, 9.573364867510037e-08, -9.047320803645675e-08
3, 5.000000000000000e-01, -1.190019000000000e-01, 9.219713147608488e-01, 7.368749228977741e-01, 8.732067346008252e-02, 2.529818352883913e+00, 8.924855443874808e-01, 9.680187768303657e-01, 6.913509325351079e-01, -5.077424113932429e-01, 2.287644773613096e-08, -3.990193897518424e-08, -4.116205681858887e-09, 3.727864639202494e-08
233, 9.995439288835696e-01, 4.536583753356755e-05, 1.092256868214383e+00, 4.429432118202408e-01, -4.422725111435827e-02, 2.921878964035663e+00, 1.132468043820162e+00, 1.036814761047478e+00, 3.382695014269826e-01, 6.255869838024191e-01, 3.502562506696449e-08, 8.140011647506107e-07, -1.422638991055436e-07, 4.468943548552318e-07
234, 9.990262958895464e-01, 9.735259890527632e-05, 1.087140373117015e+00, 4.717466671743978e-01, -4.655820573919926e-02, 2.911926628812823e+00, 1.123430528378471e+00, 1.033381296618951e+00, 3.625214902888813e-01, 5.829068636527553e-01, 3.502562506696449e-08, 8.140011647506107e-07, -1.422638991055436e-07, 4.468943548552318e-07
235, 9.984689047778184e-01, 1.539230446114491e-04, 1.082292970056798e+00, 4.793819596228091e-01, -4.871883900248063e-02, 2.900194385515130e+00, 1.117172442075387e+00, 1.032227384805759e+00, 3.703534631973360e-01, 5.533527370738468e-01, 5.006879355562432e-09, 9.121528327105111e-07, -1.385171089079984e-07, 4.335152019585564e-07
236, 9.978779347982388e-01, 2.145668395040763e-04, 1.079964493932600e+00, 4.846976688771507e-01, -5.002875967165486e-02, 2.894781940200886e+00, 1.113941940308776e+00, 1.031461632828733e+00, 3.754672543047586e-01, 5.380965303838302e-01, 5.006879355562432e-09, 9.121528327105111e-07, -1.385171089079984e-07, 4.335152019585564e-07
237, 9.972569837133844e-01, 2.790266381001366e-04, 1.078583706212787e+00, 4.891460465910519e-01, -5.098305893375293e-02, 2.891748100425846e+00, 1.111850958891707e+00, 1.030843459332175e+00, 3.795514011154626e-01, 5.282217657223469e-01, -1.133298255240334e-08, 9.264041851420046e-07, -1.233676065817702e-07, 4.137222737732316e-07
238, 9.966084700191689e-01, 3.471463587675049e-04, 1.077204226002698e+00, 4.923394616555164e-01, -5.200440878765454e-02, 2.888561693221035e+00, 1.109917502674714e+00, 1.030368685790817e+00, 3.826622057690776e-01, 5.190909217223819e-01, -1.133298255240334e-08, 9.264041851420046e-07, -1.233676065817702e-07, 4.137222737732316e-07
239, 9.959341361806483e-01, 4.188498805612431e-04, 1.076221617969233e+00, 4.951805277388170e-01, -5.294823365067547e-02, 2.886371752811796e+00, 1.108460188060579e+00, 1.029955326628895e+00, 3.853517033863441e-01, 5.122086803333125e-01, -1.348194711425776e-08, 9.163240927700933e-07, -1.194992326619682e-07, 4.054663262920144e-07
240, 9.952353332198575e-01, 4.940795803856819e-04, 1.075312900920768e+00, 4.975141888041429e-01, -5.388337925450602e-02, 2.884311494366080e+00, 1.107147682988523e+00, 1.029605133576000e+00, 3.876176688689645e-01, 5.060103092728379e-01, -1.348194711425776e-08, 9.163240927700933e-07, -1.194992326619682e-07, 4.054663262920144e-07
241, 9.945131653334186e-01, 5.728159011202999e-04, 1.074500256603918e+00, 4.993855820115531e-01, -5.480741935718901e-02, 2.882443793019626e+00, 1.105999433920031e+00, 1.029315188267772e+00, 3.894853965218276e-01, 5.005876454310770e-01, -1.985993081099480e-08, 8.812168864613668e-07, -1.142730592929020e-07, 3.772235537269353e-07
242, 9.937685429364945e-01, 6.550525001845489e-04, 1.073779643851088e+00, 5.010276995853014e-01, -5.571529066490369e-02, 2.880788208826507e+00, 1.104981000221939e+00, 1.029057504069409e+00, 3.911393250193781e-01, 4.957780411897963e-01, -1.985993081099480e-08, 8.812168864613668e-07, -1.142730592929020e-07, 3.772235537269353e-07
243, 9.930022034964668e-01, 7.407922787208422e-04, 1.073150415435857e+00, 5.025932350745116e-01, -5.662733531375803e-02, 2.879362618659331e+00, 1.104071093958621e+00, 1.028812995902542e+00, 3.927019418648287e-01, 4.914809632048204e-01, -2.229886453264385e-08, 8.412896547183024e-07, -1.114921181558093e-07, 3.571773534716272e-07
244, 9.922148096767701e-01, 8.300515388790071e-04, 1.072589706922275e+00, 5.039413303542687e-01, -5.751501108574365e-02, 2.878088016371767e+00, 1.103264423447006e+00, 1.028598742209406e+00, 3.940665588644497e-01, 4.876714212373384e-01, -2.229886453264385e-08, 8.412896547183024e-07, -1.114921181558093e-07, 3.571773534716272e-07
245, 9.914069444990301e-01, 9.228526740162887e-04, 1.072096708172484e+00, 5.053066357912053e-01, -5.842792311059180e-02, 2.876995034064968e+00, 1.102528372202554e+00, 1.028385185588289e+00, 3.954240987779059e-01, 4.841953823024997e-01, -1.739846422488256e-08, 8.135746295545587e-07, -1.095582613935830e-07, 3.610263008546610e-07
246, 9.905790818988892e-01, 1.019230223102509e-03, 1.071554003273516e+00, 5.064482520558231e-01, -5.937949274736669e-02, 2.875742774786736e+00, 1.101766516892783e+00, 1.028195045258540e+00, 3.966285739828681e-01, 4.805974823744183e-01, -1.739846422488256e-08, 8.135746295545587e-07, -1.095582613935830e-07, 3.610263008546610e-07
247, 9.897316867137874e-01, 1.119215815768472e-03, 1.071117694021589e+00, 5.074112636134461e-01, -6.028170287600755e-02, 2.874744784246474e+00, 1.101145087449756e+00, 1.028033701241016e+00, 3.976478238951705e-01, 4.776627506481992e-01, -1.439267904856933e-08, 7.848946418365088e-07, -1.072567051424445e-07, 3.592430855015039e-07
248, 9.888651593996443e-01, 1.222847402928740e-03, 1.070672554983282e+00, 5.084008824451685e-01, -6.121055230524541e-02, 2.873728795336093e+00, 1.100509560436150e+00, 1.027867535516808e+00, 3.986962436222902e-01, 4.746614424375449e-01, -1.439267904856933e-08, 7.848946418365088e-07, -1.072567051424445e-07, 3.592430855015039e-07
249, 9.879798505080029e-01, 1.330167338473688e-03, 1.070240558991458e+00, 5.093790104643142e-01, -6.218832606559502e-02, 2.872746665713836e+00, 1.099888353335220e+00, 1.027701991010041e+00, 3.997373657062680e-01, 4.717277607330341e-01, -2.050535385933472e-08, 7.698349998586096e-07, -1.035202947044511e-07, 3.366245295843839e-07
