"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy"
0, 1.000000000000000e+00, 2.220446000000000e-16, 1.021724515270691e+00, 1.596636045307502e-01, 1.291533670905446e-01, 2.732293011747513e+00, 1.084661934670292e+00, 1.061599206497386e+00, 1.648691604776898e-01, 3.595291942852576e-01, 7.685479186392286e-08, 1.694341669744581e-07, -9.019291879151792e-08, 1.994699054819193e-07
1, 5.000000000000000e-01, 9.570578000000000e-02, 9.178308853304711e-01, 5.439089415611145e-01, -6.622999519259892e-02, 2.495890325382652e+00, 9.329359413640887e-01, 1.016457341188926e+00, 5.004387937076960e-01, -2.847972593677226e-01, -1.025911156027348e-08, 8.228759895700932e-09, -7.082990999274230e-10, -2.501022855483370e-08
2, 0.000000000000000e+00, 0.000000000000000e+00, 1.156893536195463e+00, -3.725552546666690e-05, 2.604567684340433e-01, 3.095459503115538e+00, 1.226456234708992e+00, 1.060128867814658e+00, 1.847986990297525e-01, 9.616792708892127e-01, -4.489502103410814e-09, -1.109294654830922e-10, 3.002163612153552e-08, -8.033269605078885e-09
3, 5.000000000000000e-01, -9.570578000000000e-02, 9.633355470026184e-01, 7.247987464064273e-01, 8.832336842973158e-02, 2.649649369037059e+00, 9.491746925762276e-01, 9.853001848935696e-01, 6.453456720672696e-01, -2.158370452852578e-01, 9.527544087006845e-09, -1.222176104764827e-08, -1.346602510055028e-09, 2.041096758276240e-08
233, 9.995912065013577e-01, 2.021751622593141e-04, 1.028082739275194e+00, 5.142778267094908e-02, -2.971631140211608e-02, 2.743851384837799e+00, 1.096854251975360e+00, 1.066892974731441e+00, 4.727201799326573e-02, 4.113056394401214e-01, 7.685479186392286e-08, 1.694341669744581e-07, -9.019291879151792e-08, 1.994699054819193e-07
234, 9.991303030188942e-01, 4.295927995701082e-04, 1.042839835975543e+00, 5.616458681651938e-02, -2.625170465328860e-02, 2.783265130033895e+00, 1.112568908556456e+00, 1.066864603916558e+00, 4.864447631168380e-02, 4.780402095993534e-01, 7.685479186392286e-08, 1.694341669744581e-07, -9.019291879151792e-08, 1.994699054819193e-07
235, 9.986353899832501e-01, 6.731655220484553e-04, 1.034983077339683e+00, 5.586562011012214e-02, -2.752203934697045e-02, 2.762309000122957e+00, 1.104174132691692e+00, 1.066852354272167e+00, 4.923552362493514e-02, 4.423905753851384e-01, 6.638447169748929e-08, 3.451467418952303e-07, -1.412371216438779e-07, 1.774252589292757e-07
236, 9.981116626619904e-01, 9.302158349412000e-04, 1.036645991206416e+00, 6.685359880878422e-02, -3.250475556174184e-02, 2.766972675419312e+00, 1.105722946755356e+00, 1.066635048160029e+00, 5.868154821130455e-02, 4.489678391173626e-01, 6.638447169748929e-08, 3.451467418952303e-07, -1.412371216438779e-07, 1.774252589292757e-07
237, 9.975621628751894e-01, 1.199142113069813e-03, 1.035773627353954e+00, 7.447977721923767e-02, -3.630163821775449e-02, 2.764830155208544e+00, 1.104606473948979e+00, 1.066455492568265e+00, 6.546685772898934e-02, 4.442265752886848e-01, 4.789210139577449e-08, 3.898129030122099e-07, -1.915244361092028e-07, 1.317822175828098e-07
238, 9.969888926617022e-01, 1.478855148338120e-03, 1.035417329165729e+00, 8.150382894577821e-02, -3.969262782729582e-02, 2.764066321510692e+00, 1.104039076162606e+00, 1.066274481857637e+00, 7.166038273962641e-02, 4.418170382308745e-01, 4.789210139577449e-08, 3.898129030122099e-07, -1.915244361092028e-07, 1.317822175828098e-07
239, 9.963933057271297e-01, 1.768544186435105e-03, 1.035052845225866e+00, 8.719771531427384e-02, -4.233626025131440e-02, 2.763256536476193e+00, 1.103487093666800e+00, 1.066116671005334e+00, 7.665455813379361e-02, 4.394729644419902e-01, 4.087316063383639e-08, 3.651137976956598e-07, -1.913467743697161e-07, 1.129777511543750e-07
240, 9.957765119258278e-01, 2.067577559660736e-03, 1.034592775041722e+00, 9.221613809517530e-02, -4.466404541529501e-02, 2.762181687271354e+00, 1.102843143419183e+00, 1.065968340417522e+00, 8.107034246809056e-02, 4.367383362458949e-01, 4.087316063383639e-08, 3.651137976956598e-07, -1.913467743697161e-07, 1.129777511543750e-07
241, 9.951393813116902e-01, 2.375428372594032e-03, 1.034304053429998e+00, 9.711443340934857e-02, -4.682977671931532e-02, 2.761567066591252e+00, 1.102379085051141e+00, 1.065817233719031e+00, 8.533529459587215e-02, 4.347676450277788e-01, 3.363992240323910e-08, 3.293760242745192e-07, -1.737739653423498e-07, 9.615918905581111e-08
242, 9.944826524576557e-01, 2.691644251648654e-03, 1.033900020245980e+00, 1.017193711599455e-01, -4.889349392429691e-02, 2.760643301809320e+00, 1.101793367929865e+00, 1.065667227347314e+00, 8.936904126290100e-02, 4.322803122552453e-01, 3.363992240323910e-08, 3.293760242745192e-07, -1.737739653423498e-07, 9.615918905581111e-08
